stop_id                     , stop_name                           , latitude          , longitude        , locality          , zone                , active
STOP_PAL_ALAWALPUR_VILL_346 , Alawalpur Village                   , 28.172576476098005, 77.37162591959746, Palwal            , PALWAL              , TRUE
STOP_PAL_NAYA_GAO_347       , Naya Gao                            , 28.159075035685177, 77.34680830267831, Palwal            , PALWAL              , TRUE
STOP_PAL_MANDI_348          , Mandi Chowk                         , 28.15262815986978 , 77.33614558913087, Palwal            , PALWAL              , TRUE
STOP_PAL_ALAWALPUR_CH_349   , Alawalpur Chowk Palwal              , 28.150685579732084, 77.33270171551389, Palwal            , PALWAL              , TRUE
STOP_PAL_BUS_STAND_350      , Palwal Bus Stand                    , 28.147311081921327, 77.33477698480793, Palwal            , PALWAL              , TRUE
STOP_PAL_KITHWADI_351       , Kithwadi Chowk                      , 28.142976930929418, 77.33547013232132, Palwal            , PALWAL              , TRUE
STOP_PAL_NEXA_352           , Nexa Showroom                       , 28.140138284223138, 77.33544282779849, Palwal            , PALWAL              , TRUE
STOP_PAL_RASOOLPUR_353      , Rasoolpur Chowk                     , 28.141232977976916, 77.32741712796634, Palwal            , PALWAL              , TRUE
STOP_PAL_AGRA_354           , Agra Chowk                          , 28.13572427514217 , 77.32914277285356, Palwal            , PALWAL              , TRUE
STOP_PAL_OLD_SOHNA_355      , Old Sohna Mor                       , 28.140190724337874, 77.32747796904947, Palwal            , PALWAL              , TRUE
STOP_PAL_HUDA_SOHNA_356     , Huda Sohna Road                     , 28.147047438975306, 77.31397371643888, Palwal            , PALWAL              , TRUE
STOP_PAL_DHATEER_357        , Dhateer                             , 28.188466886381956, 77.24982436444779, Palwal            , PALWAL              , TRUE
STOP_PAL_SOHNA_358          , Sohna                               , 28.246751000860634, 77.07231033912987, Sohna             , GURGAON             , TRUE
STOP_PAL_PAPPAN_359         , Pappan Plaza                        , 28.154908566566935, 77.32797136686345, Palwal            , PALWAL              , TRUE
STOP_PAL_HUDA_BRIDGE_360    , Huda Bridge/Flyover                 ,                   ,                  , Palwal            , PALWAL              , TRUE
STOP_PAL_GOVT_HOSP_361      , Govt Hospital                       , 28.13647686598363 , 77.32807289462347, Palwal            , PALWAL              , TRUE
STOP_PAL_PANCHWATI_362      , Panchwati Chowk                     , 28.136437351999554, 77.32243114350122, Palwal            , PALWAL              , TRUE
STOP_PAL_MANDKOLA_RD_363    , Mandkola Road                       , 28.14059121047196 , 77.31823384515596, Palwal            , PALWAL              , TRUE
